unique_event_ID,same_whale_ID,new_dist_shore_whale_m,nearest_X_land_UTM,nearest_Y_land_UTM
2007-05-21-N-076,2007-05-21-N-076,1801.496026,440073.5675,6485831.054
2008-07-18-N-017,2008-07-18-N-017,1761.29401,436060.3127,6485381.218
2009-09-07-N-036,2009-09-07-N-036,1236.107429,437447.4923,6481181.962
2010-07-11-N-050,2010-07-11-N-050,1930.658711,436060.3127,6485381.218
2011-07-15-N-046,2011-07-15-N-046,856.383687,437354.1,6481355.062
2010-07-30-N-008,2010-07-30-N-008,1444.255367,435924.9356,6486293.837
2011-08-01-N-019,2011-08-01-N-019,873.09005,440098.0354,6485589.668
2011-08-12-N-023,2011-08-12-N-023,1474.853829,441650.0306,6482467.749
2009-05-13-N-055,2009-05-13-N-055,1804.055451,440104.1335,6485561.283
2010-07-07-N-007,2010-07-07-N-007,1877.572095,440073.5675,6485831.054
2008-06-01-N-041,2008-06-01-N-041,2912.663456,436325.6849,6491696.79
2010-08-29-N-050,2010-08-29-N-050,1727.879602,441383.5101,6488521.732
2012-08-19-N-034,2012-08-19-N-034,1166.23661,440137.328,6486338.956
2008-09-06-N-042,2008-09-06-N-042,744.619805,441512.7349,6488428.053
2008-06-23-N-038,2008-06-23-N-038,2184.131247,441191.0861,6488310.952
2012-05-21-N-003,2012-05-21-N-003,516.846691,436467.3708,6494190.09
2009-09-28-K-025,2009-09-28-K-025,135.898855,436691.0046,6493017.962
2010-06-14-N-053,2010-06-14-N-053,1434.996222,440080.0544,6485673.365
2008-08-02-N-006,2008-08-02-N-006,2370.029241,436725.8909,6492616.757
2012-07-20-N-024,2012-07-20-N-024,2617.842122,436325.6849,6491696.79
2007-08-27-N-003,2007-08-27-N-003,2316.140427,436347.6924,6491739.76
2007-08-06-N-029,2007-08-06-N-029,2691.409887,436325.6849,6491696.79
2007-06-08-N-009,2007-06-08-N-009,1181.81256,436716.7064,6492982.218
2010-05-28-N-012,2010-05-28-N-012,2052.101201,436575.0338,6492345.636
2007-06-01-N-275,2007-06-01-N-275,1706.180284,441191.0861,6488310.952
2007-08-13-K-039,2007-08-13-K-039,2418.769452,441191.0861,6488310.952
2009-09-23-N-039,2009-09-23-N-039,2384.682081,436325.6849,6491696.79
2006-08-07-K-196,2006-08-07-K-196,3239.359289,443395.9396,6492695.678
2009-05-18-K-038,2009-05-18-K-038,1162.338898,436725.8909,6492616.757
2007-08-10-N-037,2007-08-10-N-037,2948.006674,441191.0861,6488310.952
2008-08-01-N-033,2008-08-01-N-033,2118.804596,436325.6849,6491696.79
2012-09-13-N-002,2012-09-13-N-002,1317.862509,436347.6924,6491739.76
2010-08-04-N-031,2010-08-04-N-031,826.349043,440355.0154,6486730.142
2010-06-25-N-053,2010-06-25-N-053,1011.877767,440361.2681,6486741.629
2011-08-12-N-022,2011-08-12-N-022,1508.165974,436222.4126,6491679.779
2008-09-15-K-045,2008-09-15-K-045,2605.69844,436325.6849,6491696.79
2007-09-12-K-042,2007-09-12-K-042,2871.967364,436347.6924,6491739.76
2009-06-24-N-049,2009-06-24-N-049,2346.70493,436325.6849,6491696.79
2009-09-11-N-035,2009-09-11-N-035,642.448069,443459.7619,6491704.199
2008-08-20-K-083,2008-08-20-K-083,5552.743439,520076.9724,6385809.348
2010-08-15-K-099,2010-08-15-K-099,3674.133007,508642.492,6384431.381
2008-08-31-K-112,2008-08-31-K-112,5705.955491,519307.2824,6389614.038
2008-08-06-K-091,2008-08-06-K-091,1327.406991,507325.663,6388309.512
2010-08-15-K-095,2010-08-15-K-095,5936.339602,507325.0353,6388665.843
2008-06-11-K-063,2008-06-11-K-063,4871.794541,507000.1746,6389226.224
2010-08-15-K-094,2010-08-15-K-094,3768.788742,506217.7227,6391258.305
2008-06-18-K-077,2008-06-18-K-077,4405.270068,507302.94,6388703.958
2010-08-15-K-093,2010-08-15-K-093,5772.840264,507046.818,6389145.765
2008-08-03-K-110,2008-08-03-K-110,5926.480816,517304.6378,6396668.402
2010-08-15-K-091,2010-08-15-K-091,5614.338578,517416.0206,6396478.638
2010-08-15-K-090,2010-08-15-K-090,5513.002261,516916.7352,6397329.278
