"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"3425","2012-08-03-N-023","2012-08-03-N-023","Statendam",2,"2-3",16.71132263,2985.337515,"DF-Dive-fluke-up","good","calm",438397.006,6491644.103,0.627106357796,9939,2990,"2_good_2990",0.201298529885441,9.93549233140549,217.975202094957,27
"3426","2012-08-03-N-030","2012-08-03-N-030","Statendam",3,"2-3",13.78278857,4985.359603,"DF-Dive-fluke-up","good","calm",437887.3688,6482789.592,-0.252573166007,9687,4990,"3_good_4990",0.068839222324394,43.579806666946,471.333080957725,27
"3427","2012-08-05-N-030","2012-08-05-N-030","Volendam",2,"2-3",16.02682294,3991.1581,"BL-Blowing","good","calm",437131.955,6485582.957,0.42149483032,9778,3990,"2_good_3990",0.111069853039273,18.0066862904088,200.234202003079,38
"3428","2012-08-05-N-031","2012-08-05-N-031","Volendam",2,"2-3",10.3194847,786.0295026,"BL-Blowing","good","calm",438788.3911,6483256.095,-1.2928880255,9706,790,"2_good_790",0.988185863329362,2.02391075830782,337.325428583294,61
"3429","2012-08-06-N-002","2012-08-06-N-002","Sapphire Princess",2,"2-3",8.851571705,2967.631446,"BL-Blowing","good","calm",438545.0775,6481925.947,-1.73382297041,9672,2970,"2_good_2970",0.204014599323734,9.80321999812557,250.634272119375,37
"3430","2012-08-09-N-004","2012-08-09-N-004","Diamond Princess",2,"2-3",18.96642775,1055.627948,"SA-Surface-active","good","1'",418041.1713,6516801.171,1.30449981044,10836,1060,"2_good_1060",0.899397781824362,2.22371017631726,12.1671538436232,5
"3431","2012-08-17-N-025","2012-08-17-N-025","Statendam",2,"2-3",18.06791945,3486.040021,"DF-Dive-fluke-up","good","calm",439379.5321,6490260.42,1.03460390441,9909,3490,"2_good_3490",0.146951515911686,13.6099310550968,116.401684668683,10
"3432","2012-08-17-N-026","2012-08-17-N-026","Statendam",2,"2-3",18.30576452,2485.330419,"RE-Resting","good","calm",438362.6366,6489564.403,1.10604833142,9891,2490,"2_good_2490",0.287320227233081,6.96087435005942,174.961071992664,18
"3433","2012-08-24-N-003","2012-08-24-N-003","Zaandam",2,"2-3",13.2121457,1999.166725,"RE-Resting","good","calm",439951.3659,6486740.765,-0.423984130625,9801,2000,"2_good_2000",0.4250793813165,4.70500355440873,110.32488247881,14
"3434","2012-08-29-N-004","2012-08-29-N-004","Zuiderdam",3,"2-3",10.36022378,996.6477807,"BL-Blowing","good","1'",440341.8891,6481446.639,-1.28065073074,9654,1000,"3_good_1000",0.926975274796841,3.23633227505177,126.935022842485,23
"3435","2013-05-29-N-014","2013-05-29-N-014","Star Princess",2,"2-3",13.19153408,4969.854168,"DF-Dive-fluke-up","good","1'",403816.8615,6527555.978,-0.430175494528,11177,4970,"2_good_4970",0.0694394956590542,28.8020525065438,28.8020525065438,2
"3436","2013-06-04-S-005","2013-06-04-S-005","Westerdam",2,"2-3",8.902011158,3493.250319,"BL-Blowing","good","1'",456240.0704,6459114.516,-1.71867185621,7606,3490,"2_good_3490",0.146951515911686,13.6099310550968,60.7980646655527,4
"3437","2013-06-09-S-008","2013-06-09-S-008","Volendam",2,"2-3",11.77409295,2993.791767,"BL-Blowing","good","calm",465426.0578,6456430.11,-0.855949589249,7226,2990,"2_good_2990",0.201298529885441,9.93549233140549,11.1058531025425,3
"3438","2013-06-09-S-015","2013-06-09-S-015","Volendam",3,"2-3",12.6391587,2700.77719,"BL-Blowing","good","calm",461270.7314,6463058.364,-0.596099230186,8200,2700,"3_good_2700",0.246111574758551,12.1895932889104,30.0456840283577,9
"3439","2013-06-11-N-025","2013-06-11-N-025","Westerdam",3,"2-3",11.33323708,4985.259384,"DF-Dive-fluke-up","good","1'",437392.1686,6488938.64,-0.988374848386,9873,4990,"3_good_4990",0.068839222324394,43.579806666946,422.62221795978,36
"3440","2013-06-11-N-028","2013-06-11-N-028","Westerdam",3,"2-3",11.59948603,1988.585145,"DF-Dive-fluke-up","good","1'",436719.5282,6489935.366,-0.908398401211,9889,1990,"3_good_1990",0.428663331587166,6.99849923923331,30.4535220437868,6
"3441","2013-06-14-N-021","2013-06-14-N-021","Coral Princess",2,"2-3",12.82714927,1222.893435,"DF-Dive-fluke-up","good","calm",435854.7686,6496707.367,-0.539630207901,10100,1220,"2_good_1220",0.812861101188318,2.46044496049351,126.211218340171,16
"3442","2013-06-14-N-022","2013-06-14-N-022","Coral Princess",2,"2-3",12.55263127,3485.958515,"BL-Blowing","good","calm",436060.0736,6488182.96,-0.622090530564,9855,3490,"2_good_3490",0.146951515911686,13.6099310550968,240.802324053705,16
